image_id,status,reason,logged_at_utc
"LT05_135045_19931203,LT05_135046_19931203",ok,length_m=55773.1 rss_mb=702 peak_mb=915,2026-08-24T05:21:58.688152+00:00
"LT05_135045_19941120,LT05_135046_19941120",ok,length_m=57301.8 rss_mb=702 peak_mb=915,2026-08-24T05:22:25.123619+00:00
"LT05_136045_19950319,LT05_136046_19950319",ok,length_m=82690.8 rss_mb=702 peak_mb=915,2026-08-24T05:22:53.591610+00:00
LT05_136045_19951216,ok,length_m=92478.1 rss_mb=702 peak_mb=915,2026-08-24T05:23:22.263023+00:00
LT05_136045_19970119,ok,length_m=67204.1 rss_mb=702 peak_mb=915,2026-08-24T05:23:51.382863+00:00
"LT05_136045_19980106,LT05_136046_19980106",ok,length_m=74000.0 rss_mb=702 peak_mb=915,2026-08-24T05:24:18.577676+00:00
"LT05_135045_19981115,LT05_135046_19981115",ok,length_m=50046.9 rss_mb=702 peak_mb=915,2026-08-24T05:24:39.337038+00:00
"LT05_136045_19981208,LT05_136046_19981208",ok,length_m=92686.2 rss_mb=702 peak_mb=915,2026-08-24T05:25:05.812764+00:00
"LT05_136045_20000229,LT05_136046_20000229",ok,length_m=86183.1 rss_mb=702 peak_mb=915,2026-08-24T05:25:36.239752+00:00
"LT05_136045_20001111,LT05_136046_20001111",ok,length_m=84267.1 rss_mb=702 peak_mb=915,2026-08-24T05:26:07.485960+00:00
"LE07_135045_20001112,LE07_135046_20001112",ok,length_m=53692.4 rss_mb=702 peak_mb=915,2026-08-24T05:26:28.733331+00:00
"LE07_135045_20020219,LE07_135046_20020219",ok,length_m=49658.4 rss_mb=702 peak_mb=915,2026-08-24T05:26:51.038390+00:00
LE07_136045_20020226,ok,length_m=77830.4 rss_mb=702 peak_mb=915,2026-08-24T05:27:20.109301+00:00
"LE07_136045_20030128,LE07_136046_20030128",ok,length_m=86790.7 rss_mb=702 peak_mb=942,2026-08-24T05:27:49.267474+00:00
"LE07_135045_20030222,LE07_135046_20030222",ok,length_m=50166.0 rss_mb=702 peak_mb=942,2026-08-24T05:28:17.278089+00:00
"LT05_136045_20040327,LT05_136046_20040327",ok,length_m=93475.4 rss_mb=702 peak_mb=942,2026-08-24T05:28:46.523922+00:00
"LE07_135045_20041107,LE07_135046_20041107",ok,length_m=29648.0 rss_mb=702 peak_mb=942,2026-08-24T05:29:12.524325+00:00
"LT05_136045_20050210,LT05_136046_20050210",ok,length_m=93558.7 rss_mb=703 peak_mb=942,2026-08-24T05:29:45.504636+00:00
"LT05_136045_20051125,LT05_136046_20051125",ok,length_m=91278.8 rss_mb=702 peak_mb=942,2026-08-24T05:30:14.179183+00:00
LT05_136045_20061128,ok,length_m=76612.9 rss_mb=702 peak_mb=942,2026-08-24T05:30:40.932664+00:00
LT05_135046_20061223,ok,length_m=57539.2 rss_mb=702 peak_mb=942,2026-08-24T05:31:07.394583+00:00
"LT05_135045_20080228,LT05_135046_20080228",ok,length_m=50721.7 rss_mb=702 peak_mb=942,2026-08-24T05:31:33.760102+00:00
"LT05_136045_20080306,LT05_136046_20080306",ok,length_m=91065.9 rss_mb=702 peak_mb=942,2026-08-24T05:32:03.660362+00:00
"LT05_136045_20081117,LT05_136046_20081117",ok,length_m=94620.1 rss_mb=702 peak_mb=942,2026-08-24T05:32:35.405674+00:00
"LT05_135045_20091113,LT05_135046_20091113",ok,length_m=53904.1 rss_mb=702 peak_mb=942,2026-08-24T05:33:05.873020+00:00
"LT05_136045_20100123,LT05_136046_20100123",ok,length_m=87461.3 rss_mb=702 peak_mb=942,2026-08-24T05:33:35.489662+00:00
LT05_136045_20101123,ok,length_m=90503.9 rss_mb=702 peak_mb=942,2026-08-24T05:34:00.591271+00:00
